sequence,native_EAO_contribution_pp,M67_EAO_contribution_pp,M82_EAO_contribution_pp,M67_EAO_delta_pp,M82_EAO_delta_pp,native_ACC_contribution_pp,M67_ACC_contribution_pp,M82_ACC_contribution_pp,M67_ACC_delta_pp,M82_ACC_delta_pp,native_ROB_contribution_pp,M67_ROB_contribution_pp,M82_ROB_contribution_pp,M67_ROB_delta_pp,M82_ROB_delta_pp
cup02_indoor_1,1.205389096439924,1.235113831869426,1.0293922532285693,0.029724735429501825,-0.17599684321135478,0.6395025826662105,0.7568575081928277,0.48401781397128973,0.1173549255266172,-0.15548476869492078,0.4096215910698843,0.4778161350135285,0.3036270067790636,0.06819454394364416,-0.1059945842908207
cup04_indoor_1,1.4544268980228865,1.428809710943168,1.4015685940292482,-0.025617187079718384,-0.052858303993638334,1.342634230399467,1.3511643365840218,1.3639967505741553,0.008530106184554853,0.021362520174688315,1.3487571370183673,1.3487571370183673,1.3487571370183673,0.0,0.0
developmentboard_indoor_4,0.15679699532986355,0.1620463565967655,0.11132193134227412,0.005249361266901953,-0.04547506398758942,0.1520685326851831,0.1443601687733531,0.14783938659940724,-0.007708363911830024,-0.004229146085775876,0.43204060162934227,0.4010421728128872,0.4100246720722009,-0.030998428816455093,-0.022015929557141378
dog_outside_1,0.9470177194203387,0.9502245681437639,0.9531330008208513,0.0032068487234251375,0.00611528140051254,0.8114773808898796,0.8322583400834069,0.8613793859293611,0.020780959193527293,0.0499020050394815,1.077519475854894,1.077519475854894,1.077519475854894,0.0,0.0
duck03_wild_1,0.030026675588897045,0.02984862338359666,0.029255332214540474,-0.0001780522053003858,-0.0007713433743565708,0.07206414074584083,0.072560830736033,0.07257414414010738,0.0004966899901921729,0.000510003394266545,0.26999913303030676,0.26999913303030676,0.26999913303030676,0.0,0.0
duck03_wild_2,0.04057238317732465,0.0407732842354319,0.0390795785906113,0.0002009010581072515,-0.0014928045867133519,0.08176339540778035,0.08321852549374854,0.08163008567450408,0.0014551300859681898,-0.00013330973327627116,0.3059164488921366,0.3059164488921366,0.3059164488921366,0.0,0.0
dumbbells01_indoor_1,0.06329940112276666,0.06295895335205252,0.06238387667835277,-0.000340447770714139,-0.0009155244444138955,0.10737591165421523,0.10811939177852976,0.10967031191013801,0.0007434801243145356,0.002294400255922785,0.3616502148846311,0.3616502148846311,0.3616502148846311,0.0,0.0
dumbbells01_indoor_2,0.2971718572810799,0.2923392348400322,0.2815737329439914,-0.004832622441047707,-0.015598124337088515,0.29987612415758136,0.29905388522869386,0.2959123826561768,-0.0008222389288874976,-0.00396374150140455,0.6220678212154408,0.621672857519431,0.6218045120847675,-0.00039496369600977577,-0.00026330913067329487
earphone01_indoor_1,0.9784344447244939,0.9673683984143746,0.9340678401085942,-0.011066046310119315,-0.044366604615899696,0.88916492476446,0.937213650950818,0.8593166809462431,0.048048726186358026,-0.029848243818216824,1.2357589614877718,1.2599550820261107,1.1891235344435809,0.024196120538338972,-0.04663542704419088
file01_indoor_1,0.7083453515843385,0.6959275537700322,0.6840853833561309,-0.012417797814306297,-0.02425996822820764,0.5167862062336511,0.5192592550932049,0.5208313135698909,0.0024730488595537947,0.0040451073362397505,0.8468167398839576,0.8454131762266913,0.8309096851016069,-0.001403563657266238,-0.01590705478235066
flag_indoor_1,1.7904958438155711,1.7200011336160663,1.6990162615137103,-0.07049471019950482,-0.09147958230186082,1.903032963272855,1.8767308163067689,1.8852568736497224,-0.026302146966086237,-0.017776089623132707,1.6918294299055003,1.6565242436282173,1.6531530886885464,-0.035305186277283074,-0.03867634121695396
glass01_indoor_1,0.011044577547047737,0.011096536575726231,0.01095556563036599,5.1959028678494334e-05,-8.901191668174609e-05,0.04778874324384935,0.04828840492971642,0.04858376822164265,0.0004996616858670699,0.0007950249777932961,0.206834198238813,0.206834198238813,0.206834198238813,0.0,0.0
glass01_indoor_2,0.9296514773323817,0.8885663527751778,0.857955282690159,-0.04108512455720392,-0.07169619464222277,0.7385306246283142,0.7231254406105131,0.6283241406050153,-0.01540518401780111,-0.11020648402329891,0.9644430388438613,0.9410760397596611,0.8351570147137617,-0.023366999084200146,-0.1292860241300996
human02_indoor_1,0.0,0.0,0.0,0.0,0.0,0.013416664537167985,0.013441107562771866,0.013636173676613324,2.4443025603880855e-05,0.00021950913944533863,0.0966051943869905,0.0966051943869905,0.0966051943869905,0.0,0.0
human02_indoor_2,1.409570534801615,1.2659368199777676,1.2271100430538724,-0.14363371482384735,-0.1824604917477426,1.2954208296390948,1.1985629273744505,1.1272714918413276,-0.0968579022646443,-0.1681493377977672,1.349995665151534,1.2556061838535202,1.1872868512074277,-0.09438948129801372,-0.1627088139441062
human02_indoor_3,0.13798634945924285,0.13449922922824956,0.13274612020949986,-0.0034871202309932903,-0.005240229249742989,0.1852372319139621,0.18294224410961643,0.18438784378221967,-0.0022949878043456717,-0.000849388131742429,0.4644480499374543,0.4644480499374543,0.4644480499374543,0.0,0.0
humans_corridor_occ_1_1,0.0007591223613511469,0.0007503534065811926,0.0007436720179819799,-8.768954769954322e-06,-1.5450343369167053e-05,0.025541414008804064,0.025648873607178588,0.026122090753254036,0.00010745959837452426,0.0005806767444499726,0.15605454477898464,0.15605454477898464,0.15605454477898464,0.0,0.0
humans_shirts_room_occ_1_A_1,0.7147024177611607,0.7292005254997282,0.7353713746890133,0.014498107738567523,0.020668956927852533,0.6324235057704232,0.6365886260462383,0.5830929117191573,0.004165120275815171,-0.04933059405126583,0.9747216408020708,0.973393165045526,0.8804947532128521,-0.0013284757565448224,-0.09422688758921871
humans_shirts_room_occ_1_A_2,0.39416015533566967,0.4018272825530197,0.3815593187188018,0.007667127217350023,-0.012600836616867894,0.28670034249909027,0.28053804966697304,0.25253862792317106,-0.006162292832117222,-0.03416171457591921,0.6314622440659434,0.6137693398320516,0.5458634749907062,-0.017692904233891804,-0.08559876907523722
